Key,Value
20,В Звезде Азуры нет душ для освобождения.[/end]
21,"Вы не можете обучаться навыку, если его уровень выше 50%.[/end]"
22,"Вы находитесь в локации %cn.[/center]
Сейчас %tim / %dat.[/center]
В глазах местного правосудия региона %crn,[/center]
вы %ltn.[/center]
[/end]"
23,"Вам необходимо подождать не менее 12 часов прежде[/center]
чем вы сможете обучаться снова.[/center]
[/end]"
24,"Ремонт не нужен.[/center]
[/end]"
25,"У вас %gii золотых. Сколько[/center]
вы хотите выкинуть ?[/center]
[/input] [/center]
[/end]"
26,"Вы не можете отдыхать более[/center]
чем 99 часов за один заход.[/center]
[/end]"
27,"Вы не можете слоняться более[/center]
3 часов за один заход.[/center]
[/end]"
28,%hnt[/end]
29,"Предмет '%it' сломан.[/center]
[/end]"
30,"Вы не больны.[/center]
[/end]"
31,"Согласны ли вы отправиться в место под названием[/center]
%tcn?[/center]
[/end]"
32,"Душа выпущена.[/center]
[/end]"
33,"Вы не можете ремонтировать магические предметы.[/center]
[/end]"
34,"У вас нет нужных составляющих для зелья.[/center]
[/end]"
35,"Ваша репутация изменилась следующим образом:[/left]
[/left]
Простолюдины: [/pos:x=90,y=0]%r1[/left]
Купцы: [/pos:x=90,y=0]%r2[/left]
Ученые: [/pos:x=90,y=0]%r3[/left]
Знать: [/pos:x=90,y=0]%r4[/left]
Преступный мир: [/pos:x=90,y=0]%r5[/left]
[/end]"
36,"Вы слишком долго не утоляли жажду[/center]
вам надо кого-нибудь обескровить. Вы не можете[/center]
вновь обрести свою силу.[/center]
[/end]"
37,"Похоже это частная собственность. Вы все еще[/center]
хотите заглянуть внутрь?[/center]
[/end]"
38,"Хотите покопаться в своей телеге[/center]
и остаться внутри %cn?[/center]
[/end]"
100,"У вас обнаружилась болезнь Ведьмина Сушь.[/center]
Она будет медленно иссушать вашу силу,[/center]
выносливость, и здоровье до тех пор,[/center]
пока вы не ее не вылечите...или не умрете.[/center]
[/end]"
101,"Чума свалилась на вашу голову,[/center]
Это очень серьезная болезнь, часто приводящая к смерти.[/center]
Она очень быстро охватит весь ваш организм.[/center]
Немногие заболевшие чумой живут больше[/center]
нескольких дней, если не принять срочные меры.[/center]
[/end]"
102,"Желтая лихорадка взяла вас в свои жаркие объятия.[/center]
Ваши выносливость, сила воли и здоровье[/center]
будут уменьшаться каждый день, пока вы[/center]
не найдете лекарство или не умрете.[/center]
[/end]"
103,"У вас расстройство желудка.[/center]
Болезнь сама не проходит и если ее[/center]
не лечить, характеризуется[/center]
легким ежедневным уменьшением здоровья.[/center]
[/end]"
104,"У вас туберкулез.[/center]
Сила воли, ловкость и сила[/center]
будут медленно оставлять вас, пока вы[/center]
не вылечитесь или не умрете.[/center]
[/end]"
105,"У вас тяжелая форма мигрени.[/center]
Это медленная смерть, так как ваша сила воли,[/center]
ваше здоровье, а так же ваш характер будут уходить[/center]
тонкой струйкой день за днем. Найдите лекарство или[/center]
вы увидите Обливион собственными глазами.[/center]
[/end]"
106,"У вас болотная лихорадка.[/center]
Каждый день ваши сила воли, ловкость[/center]
и сила будут падать, пока вы не[/center]
станете кучкой дерьма или не излечитесь.[/center]
[/end]"
107,"У вас обнаружилась редкая болезнь - Проклятие Калирона.[/center]
У некоторых она проходит сама по себе[/center]
в течение недели или двух, но их сила,[/center]
скорость и ловкость уже не станут прежними.[/center]
Лучше всего вылечить эту болезнь как можно быстрее.[/center]
[/end]"
108,"У вас холера,[/center]
одна из самых смертельных болезней в[/center]
Тамриэле и она всегда смертельна, если помощь[/center]
не придет вовремя.[/center]
[/end]"
109,"У вас проказа[/center]
и вы будешь медленно гнить[/center]
день за днем, пока не излечитесь.[/center]
[/end]"
110,"У вас нагноение ран,[/center]
которое медленно изуродует тебя и твои[/center]
силу, выносливость и здоровье,[/center]
если ты не вылечишься.[/center]
[/end]"
111,"У вас Красная Смерть,[/center]
очень серьезное заболевание, которое может[/center]
быстро истребить выносливость жертвы[/center]
и даже уничтожит характер, пока жертва[/center]
не захочет лечиться или не умрет[/center]
[/end]"
112,"У вас заражение крови,[/center]
которое бедственно скажется на вашем[/center]
здоровье, характере и силе воли[/center]
через несколько дней или недель,[/center]
если вы не вылечитесь. Некоторые не найдя[/center]
лекарство, умерли от этой болезни.[/center]
[/end]"
113,"У вас тиф,[/center]
смертельная болезнь, отрицательно сказывающаяся на[/center]
умственных способностях, выносливости и здоровье жертвы.[/center]
Тиф не проходит, его можно или вылечить или умереть[/center]
[/end]"
114,"У вас сумасшествие,[/center]
скрытая болезнь, которая медленно накрывает[/center]
жертву и ее умственные способности,[/center]
силу воли и характер покровом безумия, пока жертва[/center]
не умрет или не излечится.[/center]
[/end]"
115,"У вас магический насморк,[/center]
магическая болезнь, которая медленно пожирает[/center]
ваши ум и врожденные магические способности[/center]
день за днем. Эта болезнь должна быть вылечена,[/center]
иначе в конце концов она убьет вас.[/center]
[/end]"
116,"У вас лихородка волшебников,[/center]
иногда просто вызывающее чесотку, иногда же[/center]
это опустошающая магическая болезнь. Некоторые[/center]
страдали ею и едва не отбросили копыта[/center]
прежде чем лихорадка разбила их, но [/center]
некоторые заболели слабоумием. Ваши магические[/center]
способности и ум медленно будут оставлять вас[/center]
день за днем в течение примерно трех недель.[/center]
[/end]"
117,"Вы отравлены.[/center]
[/end]"
200,"Почему %ra носит буквы 'Н.П.О.' на своих обутках? Чтобы не забыть - Носки в Первую Очередь![/record]
Большинство семей %ra не имеют родословной![/record]
Что общего между %ra и бутылкой портвейна. У обоих выше горла пусто![/record]
Знаешь, ты должно быть %ra, если у тебя грязь под ногтями![/record]
Как заставить сверкать глаза у %ra? Засунуть факел ему в ухо![/record]
Знаешь, ты должно быть %ra, если даже на твоей броне остались следы жрачки![/record]
Что делает %ra женского полу, когда ей плюнут в ухо? ""Спасибо за заправку!""[/record]
Как назвать %ra, у которого всего полмозга? Одаренный![/record]
Почему женщина-%ra носит нижнее белье? Чтобы сохранить тепло своего тела![/record]
Как сделать, чтобы %ra засмеялся в Мондас? Рассказать ему анекдот во Фредас![/record]
Знаешь, чтобы %ra напился, достаточно одной кружки. Меня же начинает укачивать только после тринадцатой или четырнадцатой.[/record]
Как называется подвал, в котором находится больше чем один %ra? ВИННЫЙ ПОГРЕБОК![/record]
В %nt за плевок на тротуар взимают штраф в одну медную монету. Но тебе можно плеваться бесплатно![/record]
Что общего между умным %ra и оркоблином? Они оба давным давно вымерли![/record]
Знаешь, многи говорят что дети у %ra слишком тормозные. Так что нужно подождать![/record]
Что делает %ra, плотно зажавший свои уши ладонями? Пытается удержать свои мысли![/record]
Как определить, лжет %ra или нет? По его шевелящимся губам![/record]
Что нужно сказать женщине-%ra, чтобы снять ее на ночь? ""Еще эля, дорогая?""[/record]
Почему в %cn так много авантюристов-%ra, а в %cn2 так много гоблинов? Вторая страна сделала свой выбор первой![/record]
О чем сперва думает женщина-%ra по утрам? Пора домой![/record]
Что говорит женщина-%ra после того, как узнает, что она беременна? ""Как же так?!""[/record]
В отсутствие ума %ra глупеет еще быстрей.[/record]
Не хочу есть ничего, что вело разумную жизнь. Мне больше по душе или политики или %ra.[/end]"""
201,"Во имя бороды Торига[/record]
Во имя молота Олфора[/record]
Во имя Белого Волка[/record]
Клянусь мерзлыми пустошами[/record]
Клянусь Отцом льда[/record]
Во имя Ледяной Матери[/record]
Лед и пламя[/record]
Клянусь скалами Солитюда[/record]
Во имя северных морей[/record]
Клянусь бородой Торига[/end]"
202,"Клянусь крысиным королем[/record]
Клянусь Ализахадскими шлюхами[/record]
Орочье дерьмо[/record]
Клянусь песками Эльсвейра[/record]
Святой водой клянусь[/record]
Клянусь рукой Ибрахада[/record]
О солнце пустыни[/record]
Чтоб мое сердце иссохло[/record]
Клянусь живой водой[/record]
Демоны песков[/end]"
203,"Драконьими зубами клянусь[/record]
Пасть дракона на мою голову[/record]
Проклятый Дарвак[/record]
Клянусь именем отца[/record]
Клянусь Раукеном[/record]
Клянусь Великим Молотом[/record]
Во имя короля гномов[/record]
Клянусь бородой гномьего короля[/record]
Кровью опекуна клянусь[/record]
Клянусь Первым Вирмом[/record]
Меч-призрак[/record]
Клянусь клинком[/record]
Во имя Дивада[/record]
Во имя Кэтриции[/record]
Девой клянусь[/record]
Во имя Франдара[/record]
Хранит нас Стендарр[/record]
Во имя солнечного света[/end]"
204,"Воды звездопада[/record]
Будь благословен мой повелитель[/record]
Проклятый склеп[/record]
Будь проклята смерть[/record]
Благословение моей повелительнице[/record]
Клянусь туманами[/record]
Клянусь Волком[/record]
Повелитель тьмы[/record]
Духи Высокой Скалы[/record]
Архидруидом клянусь[/record]
Во имя Пелагиуса[/record]
Безумие[/record]
Клянусь драконом[/record]
Проклятый дракон[/end]"
205,"Болотный дьявол[/record]
Болота Марквуда[/record]
Во имя богов[/record]
Клянусь троном Афиклов[/record]
Клянусь клинком судьбы[/record]
Клянусь Одиноким Странником[/record]
Хозяин Замка Штормов[/record]
Клянусь болотным духом[/record]
Во имя матери-богини[/record]
Болотное пламя[/end]"
206,"Клянусь древней рощей[/record]
Древесные духи[/record]
Клянусь Древесным Знанием[/record]
Проклятие Мистрии[/record]
Духи дерева[/record]
Древесные фэйри[/record]
Сердце Кэлирона[/record]
Клянусь Корнем[/record]
Огонь Древлекорня[/record]
Огнем клянусь[/end]"
207,"Клянусь Высочайшим[/record]
О Белый Кристалл[/record]
Клянусь лесами Элборна[/record]
О небеса[/record]
Свет фэйри[/record]
Клянусь другим миром[/record]
Первый Дух Тамриэля[/record]
Клинок Кассиморана[/record]
Кристаллы Самурсета[/record]
Клянусь Первичным Духом[/end]"
208,"Клянусь Черным Островом[/record]
Темным клянусь[/record]
Огни Дагот-Ура[/record]
Безумная королева[/record]
Черная утроба[/record]
Да хранит нас богиня тьмы[/record]
Во имя ночи[/record]
О душа черного рыцаря[/record]
Клянусь бездушным[/record]
Кипящая кровь[/end]"
250,"[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
Еру %sub в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %sub в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub %pp2 в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub %pp2 в %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub %pp2 в %an[/end]"
255,Откуда вы родом?[/end]
256,"Кто-то произнес изнутри: ""Входите.""[/record]
До вашего слуха донеслось: ""Добро пожаловать!""[/record]
Раздраженный голос прокричал: ""Открыто!""[/record]
Кто-то сказал: ""Входи.""[/record]
Звонкий голос задорно произнес: ""Добро пожаловать в мой дом.""[/record]
Изнутри прозвучал голос: ""Вы можете войти.""[/end]"""
260,"""Ваше присутствие делает честь моему скромному магазину,[/center]
%pcn. Хотя мне надо вдвое больше,[/center]
чтобы прокормить мою семью, я[/center]
пожалуй отдам это за %a золота.""[/center]
[/record]
""Ты исключительно прожженый торгаш,[/center]
как я погляжу, %pct. Обычно я прошу больше,[/center]
но тебе и только тебе предлагаю[/center]
следующую сделку. %a золота[/center]
и это твое.""[/center]
[/record]
""Мой дорогой друг, %pcf, никому, ни моим[/center]
родственникам, ни лучшим друзьям я[/center]
я не соглашусь продать это за %a[/center]
золотых. Никому, за исключением тебя.""[/center]
[/record]
""Это вполне честная цена - я[/center]
разбираюсь в торговле. Переходя из рук в руки[/center]
раритетные вещи постепенно теряют цену.[/center]
Ради тебя я пойду на убытки. %a золота,[/center]
%pcf, и вещь твоя.""[/center]
[/end]"""
261,"""%cpn может гордиться собой, имея самые[/center]
низкие цены в %cn. Хоть ты и уговариваешь[/center]
меня до сих пор, когда солнце уже зашло за[/center]
горизонт, я не могу продать это меньше,[/center]
чем за %a золота.""[/center]
[/record]
""Ты торгуешься умело, %pcn.[/center]
Покончим с этим. Я бы запросил[/center]
побольше, но лично с тебя я спрошу[/center]
всего лишь %a золота. На самом деле это гроши.""[/center]
[/end]"""
262,"""Достаточно торговли. Моя цена[/center]
%a золота. Покупай или оставь это.""[/center]
[/record]
""Это будет стоить %a золота. Тебе уже[/center]
достаточно удалось сбить цену.""[/center]
[/record]
После продолжительной торговли...[/center]
""%a золота - моя конечная цена.""[/center]
[/end]"""
263,"""Закончим наш бесконечный спор. Разумеется[/center]
ты в большой нужде. Обычно я плачу[/center]
намного меньше, но у тебя куплю это[/center]
за %a золотых.""[/center]
[/record]
""Послушай. Я предлагаю тебе максимум[/center]
возможного, чтобы мне не остаться без штанов.[/center]
Вот %a золотых. Бери и скажи всем[/center]
своим друзьям, как тебе удалось меня надуть.""[/center]
[/record]
""Такую цену я предлагаю только моим[/center]
ближайшим друзьям или родственникам. Цена[/center]
этого намного ниже чем ты думаешь, поэтому[/center]
я могу дать тебе только %a золота.""[/center]
[/record]
""Неплохо, неплохо. Многим людям я давал меньше,[/center]
но тебе дам %a золота. Это мое[/center]
лучшее предложение.[/center]
[/end]"""
264,"""Может быть ты и получишь больше, чем %a золота[/center]
где-нибудь в другом месте, но это честная цена.[/center]
И это мое последнее предложение.""[/center]
[/record]
""Я могу дать тебе %a золота. Если бы[/center]
кто-то предлагал больше, я бы отправил[/center]
тебя к нему. %a золота - красная цена[/center]
этому для меня.""[/center]
[/record]
""Вообще то это для для большого магазина, но[/center]
я могу продать это. Я дам тебе %a золота,[/center]
и это абсолютно честная цена.""[/center]
[/record]
""Да. Все правильно. Здесь все хорошего качества.[/center]
Мое предложение немного больше, чем[/center]
стандартная цена -- %a золота.""[/center]
[/end]"""
265,"""У меня нет времени для такого как ты. Могу[/center]
заплатить только %a за этот сущий хлам.""[/center]
[/record]
""%a золота, %ra. Бери или забудь об этом.""[/center]
[/record]
""Хватит неуклюжей торговли, %ra. Я дам[/center]
тебе %a золота, и это максимум того, что я[/center]
могу предложить. Сейчас.""[/center]
[/record]
""Послушай, %ra. Ты и я знаем, что красная[/center]
цена твоему барахлу не больше чем %a золота,[/center]
не так ли? Так давай не будем возникать. Если[/center]
не соглашаешься, то я не буду брать это.[/center]
[/end]"""
266,"Спокойная и тихая музыка успокаивающе действует[/center]
на вас как только вы заходите за порог. Каждый[/center]
предмет здесь бережно уложен и показан лицом.[/center]
На первый взгляд на всех вещах нет ни единой[/center]
царапины.[/center]
[/end]"
267,"Это заведение выглядит много лучше других.[/center]
Предметы аккуратно разложены по полкам.[/center]
Хотя королю они и не подойдут, все здесь[/center]
сделано умело и добротно.[/center]
[/end]"
268,"Все здесь разложено в практичной и[/center]
простой манере. Все вещи выглядят[/center]
адекватными своей конструкции.[/center]
[/end]"
269,"Крепкие шкафы, сбитые из обрезков[/center]
досок, хранят вещи.[/center]
Предметы прочны и функциональны, но[/center]
не более того.[/center]
[/end]"
270,"Покрытые ржавчиной предметы лежат там же,[/center]
где они и были брошены. Все в трещинах[/center]
и сколах от грубой работы. Мышь, мечась между[/center]
ногами, шныряет в ближайший мешок.[/center]
[/end]"
282,"Поздравляем! Вы приобрели отличный дом[/center]
здесь в %cn.[/center]
[/end]"
283,"Поздравляем! Вы приобрели[/center]
крепкое судно способное переправить вас[/center]
в любое место Илиакского залива.[/center]
[/end]"
284,"У вас уже есть корабль. Вам необходимо[/center]
продать его, чтобы купить другой.[/center]
[/end]"
285,"Это не портовый город, %pcn.[/center]
Здесь вам не продадут корабль.[/center]
[/end]"
286,"У вас уже есть дом. Вам необходимо продать[/center]
его, чтобы купить другой.[/center]
[/end]"
287,"Это контора по продаже домов. Кажется[/center]
здесь никого нет в это время.[/center]
[/end]"
288,"%pcn, вы до сих пор не выплатили[/center]
прежний заем этому банку. Вам больше не будут[/center]
одалживать деньги ни при каких условиях.[/center]
Возможно вам лучше поискать банк где-нибудь[/center]
в другом месте за пределами региона %reg и[/center]
попытаться надуть их.[/center]
[/end]"
289,"У вас уже есть задолженность перед этим банком.[/center]
Она должна быть погашена прежде, чем банк[/center]
даст вам новую ссуду.[/center]
[/end]"
290,"Приношу извинения, но на вашем счету[/center]
не так уж и много денег.[/center]
[/end]"
291,"Если я правильно понял, вы хотите[/left]
сделать вклад в вексели?[/left]
[/end]"
292,"На вашем счету не так уж много денег.[/center]
Мне необходима полная сумма векселей,[/center]
плюс небольшой процент.[/center]
[/end]"
293,"Мы не выписываем вексели на сумму[/center]
меньше чем 100 золотых.[/center]
[/end]"
294,"Это делает вам честь, но мы не[/center]
принимаем переплат. Вот ваш остаток.[/center]
Ваш заем выплачен полностью.[/center]
[/end]"
295,"Боюсь мы не можем дать такой большой заем[/center]
персоне с вашим состоянием. Лично для вас,[/center]
наш предел - %ml золотых.[/center]
[/end]"
296,"Мы не выдаем займы на сумму меньше[/center]
ста золотых.[/center]
[/end]"
297,"Я требую компенсации для банка региона[/center]
%reg! Вы задержались с выплатой займа и[/center]
поэтому должны уплатить штраф![/center]
[/end]"
298,"С радостью приобретем ваш дом за приличную[/center]
сумму %a золотых. Все вещи, находящиеся в доме[/center]
отойдут в собственность банка. Готовы ли вы[/center]
поставить подпись на договоре о продаже дома?[/center]
[/end]"
299,"Для нас цена вашего корабля составляет[/center]
%a золотых. Напоминаю, что все вещи на его борту[/center]
перейдут в собственность банка.[/center]
Хотите ли вы продать корабль сейчас?[/center]
[/end]"
300,"Вначале должны быть выбраны три основных,[/center]
три главных и шесть незначительных навыков.[/center]
[/end]"
301,"Введите название.[/center]
[/end]"
302,"Перед окончанием полностью распределите атрибуты.[/center]
[/end]"
303,"Баланс репутации должен быть равным нулю.[/center]
[/end]"
304,"Вы не можете выбрать преимуществ больше, чем положено.[/center]
[/end]"
305,"Вы не можете выбрать недостатков больше, чем положено.[/center]
[/end]"
306,"Кинжал преимуществ не должен быть в красной зоне.[/center]
Выбирайте преимущества, чтобы передвинуть его выше,[/center]
или недостатки для перемещения его вниз[/center]
[/end]"
307,"Рефлексы игрока определяют скорость игры[/center]
в целом. Если вы выберете очень высокий уровень рефлексов,[/center]
монстры будут двигаться и атаковать весьма быстро,[/center]
опережая ваши действия. Очень низкий уровень рефлексов[/center]
означает, что монстры будут, двигаться и[/center]
атаковать медленно, позволяя вам адаптироваться[/center]
к более осторожному стилю игры. Ваш персонаж[/center]
будет более медленным при низком уровне рефлексов[/center]
и более быстрым при высоком уровне рефлексов.[/center]
[/end]"
349,"Вам надоело слоняться без дела.[/center]
[/end]"
350,У вас хорошее самочувствие.[/end]
351,Вам не требуется отдых.[/end]
352,Сколько часов будете отдыхать?[/end]
353,Вы проснулись.[/end]
354,Враги поблизости.[/end]
355,Вы не можете спать сейчас.[/end]
360,"Нас предупреждали насчет вас, %pcn.[/center]
Вы не выплатили займ одному из наших[/center]
филиалов. Эти деньги будут использованы[/center]
для выплаты этого долга.[/center]
[/end]"
361,"Это демо позволяет получить тебе доступ к функциям[/center]
гильдии. Обычно тебе достаточно подождать достижения[/center]
более высокого ранга в гильдии, чтобы использовать[/center]
их.[/center]
[/end]"
362,"Вызов даэдры недоступен в демо-версии[/center]
Даггерфола.[/center]
[/end]"
363,"В полной версии игры вы можете крутить свои[/center]
навыки как хотите. В демо версии вы не можете[/center]
увеличить свои навыки выше 40.[/center]
[/end]"
364,"Истек лимит времени использования демо версии[/center]
игры. Вы можете приобрести Даггерфол у[/center]
местного дилера.[/center]
[/end]"
400,"Включенный ЧайлдГард не разрешает[/center]
выполнять это задание сейчас.[/center]
[/end]"
401,"Смерть - не всегда вечность. Для некоторых[/center]
это всего лишь передышка. Теперь пришло[/center]
время передохнуть и тебе. Будь терпеливым[/center]
и все будет хорошо...[/center]
[/end]"
402,"Я шпион высшего класса. Я знаю все, что[/center]
случается в Илиакском заливе. Другие могут[/center]
рассказывать тебе слухи, но моя информация[/center]
всегда достоверна.[/center]
[/end]"
403,"Хотите ли вы сбросить все атрибуты персонажа[/center]
к их первоначальным значениям?[/center]
[/end]"
454,У вас недостаточно золота.[/end]
460,"Вы не можете иметь свой дом, %pcn.[/center]
Дом дается только тем членам нашей организации,[/center]
которые имеют достаточно высокий ранг.[/center]
[/end]"
461,"Я уже выдал тебе броню, соответствующую[/center]
твоему текущему рангу. Когда достигнешь[/center]
более высого положения в табели о рангах,[/center]
тогда я дам тебе другой экземпляр брони.[/center]
[/end]"
462,"Есть прекрасный образец недвижимости для вас,[/center]
%pcn! Позвольте мне пометить ее на вашей карте.[/center]
[/end]"
463,"У меня есть хорошая броня для тебя.[/center]
[/end]"
465,"Я вижу вы поиздержались в своей магии. Вам[/center]
надо быть поосторожнее при вызове заклятий.[/center]
Позвольте, я восстановлю ваши силы.[/center]
[/record]
Это входит в обязанности гильдии, восстанавливать[/center]
магический потенциал волшебников.[/center]
[/record]
Хммм...Так дело не пойдет. Мы не можем допустить,[/center]
чтобы члены нашей гильдии разгуливали без маны.[/center]
Сейчас я восстановлю твой потенциал.[/center]
[/end]"
475,Замок Даггерфолл.[/end]
476,Замок Вэйрест.[/end]
477,Замок Сентинел.[/end]
480,"Сегодняшний день не подходит для вызова.[/center]
Я бы посоветовал вам провести небольшое личное[/center]
исследование, чтобы определить дату, когда мы[/center]
сможем вызвать кого-нибудь.[/center]
[/record]
Сегодня мы не вызываем демонов. Лучше бы вам[/center]
потратить немного своего времени на поиски[/center]
в библиотеке гильдии. Там есть несколько книг[/center]
про взывание к даэдрам, включающих в себя даты,[/center]
подходящие для вызова.[/center]
[/end]"
481,"Сегодня %dat, день вызова %dae.[/center]
Ну что, %pcn, все еще хочешь[/center]
рискнуть своей жизнью и душой вызывая[/center]
%dae в наш обычный мир?[/center]
[/end]"
482,"Вы уже взывали к даэдре %dae.[/center]
Только дурак будет искать разговора с[/center]
%dae во второй раз. Уходи.[/center]
[/end]"
484,"Этой ночью %dae не хочет ответить на нашу[/center]
молитву. Приходи позже в другой день, если ты[/center]
хочешь поговорить с даэдра.[/center]
[/end]"
499,"Обрывок пергамента показал вам местонахождение[/center]
%map. Вы заносите это в свою карту.[/center]
[/record]
Полностью исписанный лист бумаги раскрыл вам секрет[/center]
местонахождения %map, который вы тщательно записываете.[/center]
[/record]
Карта с еще не высохшими чернилами показывает давно утерянное[/center]
местонахождение %map, которе вы заносите себе в карту.[/center]
[/end]"
500,"Разбитые черепки хрустят под вашими ногами.[/record]
Вы чувствуете странный запах.[/record]
Вы слышите далекий, приглушенный стон.[/end]"
501,"Вы замечаете следы орков.[/record]
Орки ходили этими путями.[/record]
Что это за оркский знак?[/end]"
502,"Эта местность выглядит необитаемой.[/record]
Вы пересекли натоптанную дорожку.[/record]
Недавно здесь проходила лошадь.[/end]"
503,"Ваш путь преграждает разбитая ограда.[/record]
Не дым ли виднеется вдали?[/record]
Звон колокольчиков звучит вдалеке.[/end]"
504,"Мраморные глыбы лежат неподалеку.[/record]
Ваш путь лежит мимо кренящейся колонны.[/record]
Вдребезги разбитая статуя лежит здесь.[/end]"
505,"Повсюду вы видишь грязные лужи.[/record]
Земля здесь испещрена глубокими бороздами.[/record]
Вам пришлось обойти вокруг бездонной дыры.[/end]"
506,"Неподалеку журчит ручей.[/record]
Воздух здесь кажется прохладнее чем обычно.[/record]
Это выглядит похожим на дорогу.[/end]"
507,"Странная руна выцарапана в засохшей грязи.[/record]
Вы испытываете смутное беспокойство.[/record]
Вы видите какие-то странные перемещения в подлеске.[/end]"
508,"Странная тишина сгущается вокруг вас.[/record]
Стая воронов парит над головой.[/record]
Обглоданные кости валяются повсюду.[/end]"
