- Text database for game settings window.

schema: *key,$text
compressModdedTexturesInfo,                         "Импортировать текстуры в сжатом формате,\rкоторый использует меньше видеопамяти."
gameConsole,                                        "Игровая консоль"
gameConsoleInfo,                                    "Включить возможность ввода команд в консоли."
nearDeathWarning,                                   "Предупреждение о близкой смерти"
nearDeathWarningInfo,                               "Показывать мигающие/пульсирующие эффекты на экране,\rчтобы предупредить о приближении к смерти."
alternateRandomEnemySelection,                      "Альтернативный набор врагов"
alternateRandomEnemySelectionInfo,                  "Создавать случайных врагов в подземельях с большей изменчивостью."
advancedClimbing,                                   "Расширенное карабкание"
advancedClimbingInfo,                               "Поднимайтесь по стенам во всех направлениях,\rпрыгайте с них и захватывайтесь за них."
dungeonAmbientLightScale,                           "Амбиент в подземелье"
dungeonAmbientLightScaleInfo,                       "Масштаб амбиентного освещения внутри подземелий"
nightAmbientLightScale,                             "Амбиент ночью"
nightAmbientLightScaleInfo,                         "Масштаб амбиентного освещения ночью в помещениях и на открытом воздухе"
playerTorchLightScale,                              "Свет факела"
playerTorchLightScaleInfo,                          "Масштаб персонального света игрока"
playerTorchFromItems,                               "Факел на основе предметов"
playerTorchFromItemsInfo,                           "Свет факела игрока активируется с помощью источников света в игре"
combatVoices,                                       "Боевые крики"
combatVoicesInfo,                                   "Игрок и НИП будут издавать звуки при атаке или получении урона."
enemyInfighting,                                    "Борьба между врагами"
enemyInfightingInfo,                                "Искусственный интеллект персонажей будет атаковать тех, с кем у них нет союза."
enhancedCombatAI,                                   "Улучшенный ИИ в бою"
enhancedCombatAIInfo,                               "Включить различные улучшения для искусственного интеллекта в боях,\rотсутствующие в оригинальном Daggerfall."
allowMagicRepairs,                                  "Ремонт магических предметов"
allowMagicRepairsInfo,                              "Разрешить ремонт магических предметов так же, как обычных предметов."

resolution,                                         "Разрешение"
resolutionInfo,                                     "Разрешение экрана"
fullscreen,                                         "Полноэкранный режим"
fullscreenInfo,                                     "Включить полноэкранный режим"
exclusiveFullscreen,                                "Эксклюзивный полноэкранный режим"
exclusiveFullscreenInfo,                            "Включить эксклюзивный полноэкранный режим"
runInBackground,                                    "Фоновый режим"
runInBackgroundInfo,                                "Следует ли игре продолжать работу, когда она теряет фокус"
qualityLevel,                                       "Уровень качества"
qualityLevelInfo,                                   "Общее качество графики"
mainFilterMode,                                     "Основной фильтр"
mainFilterModeInfo,                                 "Фильтр для текстур игры"
guiFilterMode,                                      "Фильтр интерфейса"
guiFilterModeInfo,                                  "Фильтр для изображений HUD"
videoFilterMode,                                    "Видео-фильтр"
videoFilterModeInfo,                                "Фильтр для видеороликов"
antiAliasingMethod,                                 "Метод сглаживания"
antiAliasingMethodInfo,                             "Выбор метода сглаживания"
ambientOcclusionIntensity,                          "Окружающая окклюзия"
ambientOcclusionIntensityInfo,                      "Установить интенсивность постпроцессного эффекта окружающей окклюзии"
fovSlider,                                          "Угол обзора"
fovSliderInfo,                                      "Область наблюдения, видимая в данный момент"
terrainDistance,                                    "Дистанция местности"
terrainDistanceInfo,                                "Максимальное расстояние активных участков местности от положения игрока"
shadowResolutionMode,                               "Разрешение теней"
shadowResolutionModeInfo,                           "Качество теней"
dungeonLightShadows,                                "Тени в подземелье"
dungeonLightShadowsInfo,                            "Свет в подземелье создает тени"
interiorLightShadows,                               "Тени в помещении"
interiorLightShadowsInfo,                           "Свет в помещении создает тени"
exteriorLightShadows,                               "Тени на улице"
exteriorLightShadowsInfo,                           "Солнечный свет на улице создает тени"
ambientLitInteriors,                                "Упростить внутреннее освещение"
ambientLitInteriorsInfo,                            "Использовать менее сложное освещение для\rпомещений с повышенной производительностью."

- Configure Joystick Controls UI

rightClickString,                                   "Правый Клик"
middleClickString,                                  "Срединй Клик"
leftClickString,                                    "Левый Клик"
backString,                                         "Назад"
configureJoystickControls,                          "Настройки джойстика"
continue,                                           "ПРОДОЛЖИТЬ"
enableController,                                   "Включить Контроллер"
invert,                                             "Развернуть"
lookSensitivity,                                    "Чувствительность обзора"
uiMouseSensitivity,                                 "Чувствительность мыши"
maximumMovementThreshold,                           "Максимальный порог движения"
deadzone,                                           "Мертвая зона"
movementH,                                          "Гор. движение"
movementV,                                          "Верт. движение"
cameraH,                                            "Гор. камера"
cameraV,                                            "Верт. камера"
primary,                                            "Основные"
secondary,                                          "Дополнительные"

- Options shared among sliders. Missing keys use default text.

Off,                                                "Выкл."
On,                                                 "Вкл."
HQ,                                                 "Высокое качество"

Low,                                                "Низкое"
Medium,                                             "Среднее"
High,                                               "Высокое"
Very High,                                          "Очень высокое"

Low (25%),                                          "Низкое (25%)"
Medium (50%),                                       "Среднее (50%)"
High (75%),                                         "Высокое (75%)"
V. High(100%),                                      "Очень высокое (100%)"

Point,                                              "Точечный"
Bilinear,                                           "Билинейный"
Trilinear,                                          "Трилинейный"

none,                                               "нет"
classic,                                            "классический"
climate,                                            "климатический"
climateOnly,                                        "только климатический"
random,                                             "случайный"
randomOnly,                                         "только случайный"
minimal,                                            "минимальный"
large,                                              "большой"
colour,                                             "цветной"
monochrome,                                         "монохромный"

reset,                                              "Сбросить"
