Key,Value,Original
2098464,"Сторожка ""Жаба и Огр""",The Toad and Ogre Lodge
2098677,Усадьба Хокинг,The Hawking Farmstead
2098852,Кладбище Вудстон,The Woodston Cemetery
2099387,Амбар Букингем,Buckingham Grange
2102157,Твой Корабль,Your Ship
2111683,Усадьба Мастертон,The Masterton Farmstead
2136538,Кэттейл,Cathtale
2137801,Амбар Йеомкрофт,Yeomcroft Grange
2139575,Конвергенция Виктьрря,The Vyctyrrya Convergence
2139821,Руины Холла Эшфилд,Ruins of Ashfield Hall
2149258,Собрание Виктина,The Convocation of Vyctyna
2149452,Фруктовый Сад Эшстон,Ashston Orchard
2166310,Сингвейл,Singvale
2184799,Руины Сада Букингфилд,Ruins of Buckingfield Orchard
2188861,Башня Ашам,The Tower of Ashham
2200277,Гнездо Ярахота,The Nest of Yerahoth
2200451,"Сторожка ""Бобр и Сурок""",The Beaver and Woodchuck Lodge
2216540,Чармаркет,Charmarket
2228420,Старая Лачуга Аштон,The Old Ashton Hovel
2234035,Замок Кингкрофт,Castle Kingcroft
2243003,Фруктовый Сад Копперинг,Coppering Orchard
2255771,Кафедральный Собор Джубита,The Cathedral of Jubith
2281035,Кромвей,Cromway
2302116,Усадьба Аштон,The Ashton Farmstead
2352284,Лаборатория Тристор,Tristore Laboratory
2366999,Жавибия,Javibia
2373058,Руины Усадьбы Клолпум,Ruins of The Klolpum Farmstead
2376748,Лачуга Старой Рхарджи,Old Rhardja's Hovel
2376796,"Паб ""Багровый Варвар""",The Crimson Barbarian Pub
2379774,Шабаш Девилрок,Devilrock Coven
2413853,Жалоса,Jalosa
2414990,Башня М'ирчир,The Tower of M'ircir
2424556,Бубиссидата,Bubissidata
2460641,Дом Исправления Мард,The Mard House of Correction
2484750,Руины Усадьбы Каорчом,Ruins of The Caorchom Farmstead
2490452,Театр Киран,Kieran Theatre
2503410,Лачуга Старой Блугты,Old Blugta's Shack
2513791,Элу-Тар,Elu-Thar
2516597,Жалаллаара,Jalallaara
2521023,Лощина Джубас,Jubas Hollow
2522384,Ферма Старой Чистки,Old Chistka's Farm
2530768,Старая Лачуга Баальпен,The Old Baalpen Hovel
2547559,Сирайплекс,Syrajplex
2550325,Возвышенность Трогругот,The Roost of Trogrugoth
3147047,Руины Двора Кингфилд,Ruins of Kingfield Court
3147255,Ферма Старой Моргиссы,Old Morgyssa's Farm
3147527,Святилище Джоуд,Jode Shrine
3147976,Руины Фермы Старой Лисины,Ruins of Old Lysyna's Farm
3160274,Холл Хартслей,Hearthsley Hall
3185130,Бродтон,Broadton
3187356,Двор Гринстон,Greenston Court
3188158,Сеть Ангатор,The Angator Web
3190391,Руины Старого Жилища Мурхарт,Ruins of The Old Moorhart Place
3198830,"Хостел ""Смеющийся Гном""",The Laughing Gnome Hostel
3199034,Особняк Хоуквинг,Hawkwing Manor
3214912,Амбар Виквинг,Wickwing Grange
3233377,Чарвик,Charwick
3237442,Холд Хартфорда,Hearthford's Hold
3249038,Рейхам Энд,Reyham End
3249790,"Хостел ""Гном и Гоблин""",The Dwarf and Goblin Hostel
3265118,Фонткастл,Fontcastle
3277965,Особняк Хартфилд,Hearthfield Manor
3284591,Руины Холда Кингтон,Ruins of The Hold of Kington
3293566,Дворец Копперсли,Coppersley Palace
3304357,Плантация Гирхауз,The Gaerhouse Plantation
3330580,Весттон,Westton
3350694,Руины Усадьбы Виктон,Ruins of The Wickton Farmstead
3401853,Фруктовый Сад Мастерсли,Mastersley Orchard
3415577,Башня Гхоркке,The Tower of Ghorkke
3422622,Холл Тхарсер,Tharcer Hall
3425425,Холд Фаурпа,Faurp's Hold
3429338,"Таверна ""Несчастный Гоблин""",The Unfortunate Goblin Tavern
3434319,Калио,Kalio
3462441,Замок Дхилпт,Castle Dhilpt
3463579,Хижина Фозан,The Fozan Cabin
3474137,Холл Рхоркке,Rhorkke Hall
3510177,Умбопала,Umbopala
3533330,Поющая Звезда Стендарра,Singing Star of Stendarr
3539033,"Таверна ""Зеленый Грифон""",The Green Griffin Tavern
3551994,Бербаян,Berbajan
3564372,Бадаи,Badai
3566186,"Таверна ""Бобр и Ёж""",The Beaver and Hedgehog Inn
3569621,"Паб ""Бобр и Дикобраз""",The Beaver and Porcupine Pub
3571939,Нежный Восход Зенитара,Gentle Sunrise of Zenithar
3581351,Осеттуя,Osettuja
3596137,Питаджер,Pythadjer
3598903,Крепость Дозон,The Fortress of Dozon
4195626,Усадьба Йеомарт,The Yeomhart Farmstead
4195849,Вестбери,Westbury
4196108,Честерчестер,Chestercester
4196581,Пенчестер,Pencester
4209819,Уайтвик,Whitewick
4235696,Плачущий Провидец Джулианоса,Weeping Seer of Julianos
4235938,Башня Хартхэм,The Tower of Hearthham
4236737,Кровоточащий Восход Стендарра,Bleeding Sunrise of Stendarr
4238974,Кладбище Йеомарт,The Yeomhart Graveyard
4247612,"Таверна ""Белый Гоблин""",The White Goblin Inn
4249405,Кэтмаркет,Cathmarket
4264466,Дворец Хокрофт,Hawkcroft Palace
4282925,Гробницы Хартстон,The Tombs of Hearthston
4288014,Нежный Провидец Кинарет,Gentle Seer of Kynareth
4297647,Апбра,Upbrugh
4299372,Святилище Вигрила,Shrine of Vigryl
4313703,Особняк Кингтон,Kington Manor
4326545,Чаринг,Charing
4334174,Рипволд,Ripwold
4342144,Мермаркет,Mermarket
4353927,Руины Жилища Старого Белладина,Ruins of Old Belladyn's Place
4379163,Святилище Эфена,Shrine of Ephen
4400263,Руины Амбара Копперхаус,Ruins of Copperhouse Grange
4451431,Поющий Свет Мары,Singing Light of Mara
4471139,"Таверна ""Ржавая Птица""",The Rusty Bird Tavern
4472220,Загалладису,Zagalladisu
4474053,Бесконечная Душа Джулианоса,Infinite Soul of Julianos
4479901,Мадла,Madla
4484886,Усадьба Крурта,The Krurta Farmstead
4512049,Седе-Кором,Sede-Korom
4512163,Святилище Джоун,Shrine of Jone
4535696,Паллатон,Pallaton
4558823,Извечный Алтарь Мары,Perpetual Altar of Mara
4582840,"Таверна ""Мертвый Грифон""",The Dead Griffin Inn
4588614,Руины Особняка Сорп,Ruins of Sorp Manor
4601545,Гнездо Скоедона,The Nest of Skoedon
4612957,"Паб ""Белый Карьер""",The White Pit Pub
4616717,Особняк Гасун,Ghasun Manor
4619204,"Паб ""Свинья и Кружка""",The Pig and Mug Pub
4620529,Замок Салл,Castle Sall
4631935,Руины Сада Дхокт,Ruins of Dhoct Orchard
4644723,Лачуга Старой Крурхтии,Old Krurhti's Hovel
4647481,Пайа,Paja
5244205,"Паб ""Белая Кружка""",The White Mug Pub
5244438,Нора Балеуса,The Hole of Baleus
5244696,Плачущее Знамение Кинарет,Weeping Omen of Kynareth
5246122,Ферма Старой Элизории,Old Elyzorya's Farm
5258397,Амбар Копперинг,Coppering Grange
5284535,Замок Кингфорд,Castle Kingford
5285260,Плантация Кингсли,The Kingsley Plantation
5285361,Ламволл,Lamwall
5289547,Башни Гринтон,Greenton Tower
5296197,Усадьба Вудхэм,The Woodham Farmstead
5300002,Святилище Маи,Shrine of Mai
5313044,Усадьба Вудхаус,The Woodhouse Farmstead
5331513,Каменоломня Гондистаир,The Quarry of Gondistair
5337586,Холл Копперхарт,Copperhart Hall
5347203,Плантация Хоктон,The Hawkton Plantation
5347950,Особняк Гринхарт,Greenhart Manor
5362289,Пенвейл,Penvale
5376109,Плантация Вудсмит,The Woodsmith Plantation
5382765,Руины Башни Эшстон,Ruins of The Tower of Ashston
5390731,Особняк Гринсмит,Greensmith Manor
5405511,Варвих,Warwych
5427741,Болото Уорвуд,Warwood Moor
5448856,"Хостел ""Бобр и Штурвал""",The Beaver and Helm Hostel
5500014,Нежный Мученик Мары,Gentle Martyr of Mara
5520678,Лопадай,Lopadai
5520802,Усадьба Слагхтин,The Slaghtin Farmstead
5522634,Калуннуну,Kalunnunu
5528488,Лачуга Старый Лхез,The Old Lhez Shack
5537449,"Таверна ""Красный Кот""",The Red Cat Tavern
5560741,Усадьба Фхерц,The Fherc Farmstead
5561587,Особняк Хир,Khir Manor
5585279,Крепость Фходжум,The Fortress of Fhojum
5607405,"Хостел ""Лев и Скорпион""",The Lion and Scorpion Hostel
5631489,Священное Возрождение Стендарра,Sacred Rebirth of Stendarr
5639186,Усадьба Фхизта,The Fhizta Farmstead
5651115,"Таверна ""Перо и Собака""",The Feather and Dog Tavern
5663513,Крипты Флардун,THe Crypts of Flardun
5665304,Аппохазар,Appohazar
5667793,Дом Корривора,The House of Corrivor
5670107,Амбар Нилд'керн,Nild'kern Grange
5682489,Руины Лачуги Старого Чуллты,Ruins of Old Chullta's Shack
5693301,Каирн Маркиза Баровара,The Cairn of Marquis Barovar
5696063,"Сторожка ""Свинья и Замок""",The Pig and Castle Lodge
6292797,Подземелье Гаерфилд,The Gaerfield Vaults
6293334,Крепость Вудинг,The Fortress of Wooding
6293927,Гробницы Виккрофт,The Wickcroft Tombs
6294721,"Паб ""Священник Дьявола""",The Devil's Priest Pub
6306975,Крепость Эшсли,The Fortress of Ashsly
6333851,Старая Лачуга Виксли,The Old Wicksly Shack
6334049,Дворец Виквинг,Wickwing Palace
6334915,Холл Хокслей,Hawksley Hall
6338128,Рипбридж,Ripbridge
6345737,Кладбище Хокслей,The Hawksley Cemetery
6348586,Старое Жилище Копперхэм,The Old Copperham Place
6361622,Вайтхоуп,Whitehope
6381081,Святилище Джоуд,Jode Shrine
6387167,Двор Хокстон,Hawkston Court
6395781,Усадьба Вудсмит,The Woodsmith Farmstead
6396530,Амбар Гаерслей,Gaersley Grange
6410871,Могилы Хартфорда,The Graves of Hearthford
6424695,Хоркрофт,Horcroft
6432315,Лачуга Старой Барбольды,Old Barbolda's Hovel
6440282,Холд Хартвинга,Hearthwing's Hold
6454102,Гробницы Мастерхарт,The Tombs of Masterhart
6476336,Апвелл,Upwell
6498418,Алдвейл,Aldvale
6549568,Внутреннее Знамение Мары,Inner Omen of Mara
6570273,Двор Шралд,Shrald Court
6570357,Загопария,Zagoparia
6571222,Багхаскуван,Baghascuwan
6578066,Склепы Слоджин,The Slojin Crypts
6587018,Сеть Гроллата,The Web of Grollath
6609320,Театр Киран,Kieran Theatre
6611195,Холл М'ерин,M'erin Hall
6634853,Сентинел,Sentinel
6655986,Нора Баалулаха,The Hole of Baalulah
6681069,Руины Усадьбы Ф'игта,Ruins of The F'igta Farmstead
6688752,Хижина Боирч,The Boirch Cabin
6699705,Потаго,Pothago
6712093,Радостное Предзнаменование Стендарра,Joyous Omen of Stendarr
6713889,Поющий Пророк Мары,Singing Prophet of Mara
6717294,Башня Гректун,Grectun Tower
6719678,Вольер Морикер,The Aviary of Moriker
6732098,Руины Особняка Д'эрнта,Ruins of D'ernta Manor
6741890,"Сторожка ""Бобр и Плут""",The Beaver and Rascal Lodge
6744641,Усадьба Нилпте,The Nilpte Farmstead
7341378,"Хостел ""Крот и Кинжал""",The Mole and Dagger Hostel
7341915,Руины Башни Йеомсмит,Ruins of Yeomsmith Tower
7342505,Горящий Искупитель Стендарра,Burning Redeemer of Stendarr
7343302,Блэкдэйл,Blackdale
7355554,Хартинг Тауэр,Hearthing Tower
7382430,Алтарь И'рика,Altar of I'ric
7382631,Чарвейл,Charvale
7384454,Найтсгейт,Knightsgate
7387695,Мидвилл,Midville
7394334,Замок Виконта Гарезотха,Castle Viscount Garezoth
7397164,Монастырь Диспула,The Convent of Dispul
7410205,Кирквей,Kirkway
7429677,"Таверна ""Летучая Мышь и Егерь""",The Bat and Huntsman Inn
7435746,Башня Кингхэм,Tower Kingham
7444371,Башня Мурфорд,Moorford Tower
7445125,Оксвих,Oxwych
7459454,Особняк Вудвинг,Woodwing Manor
7473275,Особняк Йеомарт,Yeomhart Manor
7481916,Могильник Кингинг,The Kinging Burial Ground
7488874,Арквилл,Arkville
7504661,Усадьба Эшсмит,The Ashsmith Farmstead
7524917,Поющее Дерево Акатоша,Singing Tree of Akatosh
7547006,Сообщество Ванноря,The Community of Vannorya
7598148,Крепость Хартхаус,The Stronghold of Hearthhouse
7618875,Особняк М'аркам,M'arkam Manor
7618958,Руины Особняка Ф'орч,Ruins of F'orch Manor
7620682,Амбар Баурдум,Baurdum Grange
7626665,Особняк Д'Эрмон,D'ermon Manor
7635596,Руины Усадьбы Гхулдтен,Ruins of The Ghuldten Farmstead
7658801,"Паб ""Зеленый Череп""",The Green Skull Pub
7660754,Безмолвный Искупитель Кинарет,Silent Redeemer of Kynareth
7684419,Агелирет,Ageliret
7705498,Подземелье Гругхтам,The Grughtam Vaults
7730553,Благословенный Пророк Стендарра,Blessed Prophet of Stendarr
7737330,Моракатон,Morakaton
7748286,Крепость Сирден,The Stronghold of Cirden
7761676,"Паб ""Ржавый Кружка""",The Rusty Mug Pub
7762490,Особняк Дхеллем,Dhellem Manor
7765882,"Хостел ""Дикий Гоблин""",The Savage Goblin Hostel
7768256,Лачуга Старой Нхернты,Old Nhernti's Shack
7781593,Гнездо Мораркера,Morarker's Nest
7790469,Морутон,Moruton
7794211,Нора Джубулулулы,The Hole of Jubulululla
8389960,Особняк Кингтон,Kington Manor
8390543,Честервих,Chesterwych
8391162,Алдингфорт,Aldingfort
8392856,Грейдейл,Graydale
8405139,Кладбище Копперсли,The Coppersly Cemetery
8431010,Ректорий Балонивах,The Balonivah Rectory
8431217,Усадьба Мурсмит,The Moorsmith Farmstead
8433063,"Таверна ""Жаба и Плут""",The Toad and Rascal Tavern
8437279,Оксхед,Oxhead
8443894,Усадьба Гаеркрофт,The Gaercroft Farmstead
8446702,Традиция Гвинаин,The Gwynayne Tradition
8459765,Монастырь Герерулла,The Gererulla Monastery
8479247,Дворец Мастерхэм,Masterham Palace
8486321,Хижина Гаерсли,The Gaersly Cabin
8493706,Особняк Мастервинг,Masterwing Manor
8494915,Стенающий Мученик Аркея,Wailing Martyr of Arkay
8508040,Вануорт,Vanworth
8521866,Старая Лачуга Йеомслей,The Old Yeomsley Shack
8531488,Башня Гринфилд,Tower Greenfield
8538426,"Паб ""Мертвый Джинн""",The Dead Djinn Pub
8553253,Склепы Эшстон,The Ashston Crypts
8573502,Усадьба Мастерфилд,The Masterfield Farmstead
8596584,Усадьба Хартфилд,The Hearthfield Farmstead
8647736,"Таверна ""Белая Коза""",The White Goat Inn
8667570,Месераара,Meseraara
8668423,Старая Лачуга Турдер,The Old Turder Hovel
8669355,Холл Стульд,Stuld Hall
8675250,Ферма Старого Базса,Old Bazsa's Farm
8684185,Безмолвный Оракул Дибеллы,Silent Oracle of Dibella
8707382,Особняк Карцен,Karcen Manor
8710324,Гисырыбу,Gysyrybu
8733005,"Таверна ""Крот и Джинн""",The Mole and Djinn Tavern
8754077,Жавии-Ком,Javii-Kom
8779219,Сторожевая Башня Маорна,Maorn's Guard
8785917,Руины Лачуги Старой Фхармки,Ruins of Old Fharmki's Hovel
8796871,Холл Кизт,Kizt Hall
8811243,Бесконечный Пророк Стендарра,Infinite Prophet of Stendarr
8813031,Благословенная Реликвия Мары,Blessed Relic of Mara
8815448,Лачуга Старой Саирк-е,Old Sairk-e's Shack
8817816,Особняк Ф'авен,F'aven Manor
8830220,Логово Асмера,The Lair of Asmer
8840034,Иссакухкат,Issaquhkat
8843782,Папырыдай,Papyrydai
9438540,Особняк Хоуксмит,Hawksmith Manor
9439137,Усадьба Копперсли,The Coppersly Farmstead
9439761,Алдингтейл,Aldingtale
9441459,Галлобра,Gallobrugh
9453737,Честерлех,Chesterlech
9479798,Цитадель Йеомфилд,The Citadel of Yeomfield
9480532,Фонтли,Fontley
9481667,Особняк Хартфилд,Hearthfield Manor
9485858,Извечная Душа Дибеллы,Perpetual Soul of Dibella
9492480,Лачуга Старой Ваннывиры,Old Vannyvyra's Shack
9495280,Броадбраф,Broadbrugh
9508343,Пенхэм,Penham
9527834,Руины Амбара Муркрофт,Ruins of Moorcroft Grange
9534903,Усадьба Гервинг,The Gaerwing Farmstead
9542284,Хибара Старой Ваннории,Old Vannorya's Hovel
9543507,Дом Исправления Мордард,The Mordard House of Correction
9557559,Амбар Грининг,Greening Grange
9570447,Замок Некромоган,Castle Necromoghan
9580074,Погост Гаерсли,The Gaersly Graveyard
9587006,Особняк Букингхаус,Buckinghouse Manor
9601832,Мавзолей Даркиварона,The Masoleum of Darkivaron
9622090,Могильник Мурэм,The Moorham Burial Ground
9646145,Усадьба Мастерфилд,The Masterfield Farmstead
9697304,"Хостел ""Воющий Грифон""",The Howling Griffin Hostel
9717019,Особняк Нхалден,Nhalden Manor
9717094,Замок Сестам,Castle Sestam
9717935,Бербасцуниа,Berbascunia
9724788,"Таверна ""Смеющаяся Ондатра""",The Laughing Muskrat Inn
9733742,Антелибутон,Antelibuton
9755963,"Таверна ""Летучая Мышь и Собака""",The Bat and Dog Inn
9759889,Страшный Восход Кинарет,Fearful Sunrise of Kynareth
9782562,Башня Дежом,Tower Dejom
9803655,Темница Тустома,The Penitentiary of Thustom
9828725,Жилище Старый Нхет,The Old Nheth Place
9835487,Ферма Старой Лхазбы,Old Lhazba's Farm
9846445,Усадьба Д'илдин,The D'ildin Farmstead
9861627,Пителида,Pythelida
9861817,Кладбище Слифилер,The Slifyler Cemetery
9864055,Священный Мученик Мары,Sacred Martyr of Mara
9866412,Святое Дерево Зенитара,Holy Tree of Zenithar
9878808,Руины Амбара Ристем,Ruins of Rhistem Grange
9889595,Тулаэх-Хасси,Tulaeh-Hassi
9893369,Кровоточащее Знамение Джулианоса,Bleeding Omen of Julianos
10487128,"Таверна ""Меч Королевы""",The Queen's Sword Inn
10487729,Цитадель Гаерсли,The Citadel of Gaersly
10489287,Башня Мастерсли,The Tower of Mastersly
10490982,"Таверна ""Мышь и Гоблин""",The Mouse and Goblin Tavern
10502323,"Хостел ""Крот и Гоблин""",The Mole and Goblin Hostel
10528385,Чарвей Хит,Charway Heath
10529143,Плантация Херттон,The Hearthton Plantation
10531196,Плачущий Алтарь Стендарра,Weeping Altar of Stendarr
10535422,Холхоуп,Holhope
10541058,Башня Хартхэм,The Tower of Hearthham
10543903,Собрание Белладары,The Gathering of Belladara
10556943,Священный Свет Зенитара,Sacred Light of Zenithar
10577382,Хижина Йеомхаус,The Yeomhouse Cabin
10584470,Крепость Хартфилд,The Fortress of Hearthfield
10590884,Лачуга Старой Христаусы,Old Chrystausa's Hovel
10592095,Блэклей,Blackleigh
10606157,Гробницы Виктон,The Tombs of Wickton
10619029,Благословенное Вознесение Кинарет,Blessed Ascencion of Kynareth
10629627,Плантация Бакингсмит,The Buckingsmith Plantation
10635589,Замок Эшсли,Castle Ashsley
10651391,Руины Усадьбы Гаерхарт,Ruins of The Gaerhart Farmstead
10670668,Болото Гримдейл,Grimdale Moor
10694726,Фруктовый Сад Мурвинг,Moorwing Orchard
10745891,Алтарь И'рика,Altar of I'ric
10765600,Багхиитор,Baghiitor
10765689,Руины Особняка Клуч,Ruins of Kluch Manor
10766518,Кладбище Клиркум,The Klircum Cemetery
10774406,Благословенное Знамение Аркея,Blessed Omen of Arkay
10783312,Вадиджерарег,Wadijerareg
10804586,"Таверна ""Зеленый Огр""",The Green Ogre Inn
10808473,Цетемикат,Tsetemikat
10831143,Усадьба М'ерг,The M'erg Farmstead
10852255,Лачуга Старой Тлоргты,Old Tlorgta's Shack
10878349,Атрига,Atriga
10885059,Пераджа,Peraja
10895027,Святилище Вигрила,Shrine of Vigryl
10910218,"Сторожка ""Несчастная Собака""",The Unfortunate Dog Lodge
10911405,Наржиджа,Narjija
10912653,Феонадла,Pheonadla
10915971,Старое Жилище М'ормум,The Old M'ormum Place
10928367,Подземелье Д'орк,The Dungeon of D'ork
10939169,Пувейн,Puweyn
10942939,Руины Усадьбы Дхиртум,Ruins of The Dhirtum Farmstead
11535708,Усадьба Вудхаус,The Woodhouse Farmstead
11536982,Войтрак Меус,The Vojthrac Mews
11537865,Хижина Хоукхаус,The Hawkhouse Cabin
11539560,"Хостел ""Крыса и Священник""",The Rat and Priest Hostel
11551845,Реликварий Раена,Reliquary of Raen
11576976,"Сторожка ""Грязный Грифон""",The Dirty Griffin Lodge
11577725,Святилище К'Олвен,Shrine of Q'Olwen
11579801,Меринг,Mering
11584003,Холвич,Holwich
11589642,Погост Вудхаус,The Woodhouse Graveyard
11593439,Усадьба Вудинг,The Wooding Farmstead
11606497,Блэкварк,Blackwark
11625967,Подземелье Хартхэм,The Hearthham Vaults
11633062,"Таверна ""Лев и Ущелье""",The Lion and Chasm Tavern
11639468,Логово Итхота,The Lair of Yethoth
11640675,Плантация Йеомвинг,The Yeomwing Plantation
11655702,Апворт,Upworth
11668571,Усадьба Гаерфорд,The Gaerford Farmstead
11678220,Усадьба Букингинг,The Buckinging Farmstead
11684169,Плантация Гервинг,The Gaerwing Plantation
11700980,Галломаркет,Gallomarket
11720192,Вайлдерхоуп,Wilderhope
11743318,Усадьба Муртон,The Moorton Farmstead
11795453,Кабал Гвиноны,The Cabal of Gwynona
11815161,Руины Холда Царкта,Ruins of The Hold of Cyarkta
11815234,Амбар Влюльдер,Vlulder Grange
11815980,"Сторожка ""Серебряный Священник""",The Silver Priest Lodge
11823947,Руины Плантации Гиг,Ruins of The Gig Plantation
11832914,"Сторожка ""Крот и Карьер""",The Mole and Pit Lodge
11854122,"Корчма ""Серебряный Сурок""",The Silver Woodchuck Inn
11859038,Жилище Старой Гилки,Old Gillki's Place
11880734,Башня Кллопон,Tower Klolpon
11900849,Амбар Рух'керн,Ruch'kern Grange
11926957,Гробницы Клерд,The Tombs of Klerd
11934644,"Паб ""Грязный Джинн""",The Dirty Djinn Pub
11944584,Замок Ревир,Castle Revir
11958807,Питонила,Pythonilah
11960970,"Паб ""Черный Дикобраз""",The Black Porcupine Pub
11961254,Замок Раарк,Castle Raark
11964554,Агуреа,Agurea
11977015,Руины Холда Вактт,Ruins of The Hold of Vactt
11987752,Усадьба Рлисттен,The Rlistten Farmstead
11991517,Холд Дхурхта,Dhurht's Hold
12584286,Цитадель Мурвинг,The Citadel of Moorwing
12585570,Руины Холла Мастерсмит,Ruins of Mastersmith Hall
12586478,Лачуга Старой Гвиниссы,Old Gwynyssa's Shack
12588141,Найтсхоуп,Knightshope
12600425,Танхед,Tunhead
12626303,Грот Баалота,The Grotto of Baaloth
12626517,Крепость Хокрофт,The Fortress of Hawkcroft
12629334,Безмолвное Возрождение Стендарра,Silent Rebirth of Stendarr
12635571,"Сторожка ""Белый Великан""",The White Giant Lodge
12638232,Кладбище Букингхаус,The Buckinghouse Cemetery
12642023,"Сторожка ""Счастливый Варвар""",The Lucky Barbarian Lodge
12655076,Могилы Кингвинга,The Graves of Kingwing
12675530,Лонгбет,Longbeth
12682613,Хорварк,Horwark
12688973,Мидмонт,Midmont
12689255,Особняк Херттон,Hearthton Manor
12704280,Старая Лачуга Йеомкрофт,The Old Yeomcroft Shack
12717158,Лачуга Старой Элары,Old Elara's Shack
12727776,Руины Холда Гаерсмит,Ruins of The Hold of Gaersmith
12732749,Ипстауэр,Ipstower
12751564,Эрмитаж Сахулесса,The Sahulessa Hermitage
12768775,Особняк Вудсмит,Woodsmith Manor
12792875,Ферма Старой Исабит,Old Ysabyth's Farm
