Key,Value
extraSpellPtsTimes,"зимой
весной
летом
осенью
во время полнолуния
во время полумесяца
в новолуние
рядом с нежитью
вблизи даэдра
рядом с гуманоидами
рядом с животными"
regensHealthTimes,"в любое время
днём
ночью"
vampiricEffectRanges,"на расстоянии
при ударах"
increasedWeightAllowances,"дополнительно 25%
дополнительно 50%"
improvedTalents,"слух
атлетизм
прилив адреналина"
itemDeteriorateLocations,"всё время
при свете солнца
в святых местах"
userTakesDamageLocations,"на солнечном свету
в святых местах"
enemyGroupNames,"нежить
Даэдра
гуманоиды
животные"
healthLeechStopConditions,"при любом использовании
если не используется ежедневно
если не используется еженедельно"
badReactionFromEnemyGroups,"гуманоиды
животные
Даэдра"
repWithGroups,"Обыватели
Торговцы
Ученые
Дворянство
Преступники
Все"
youReceiveGoldPieces,Вы получили %s золотых монет.
bankPurchasePrice,Цена: %s золотых монет.
youHaveRentedRoom,У вас снята комната в %s на %d часов.
haveNotRentedRoom,Вы не снимали здесь комнату.
expiredRentedRoom,Срок аренды этой комнаты истёк.
tavernAle,Эль (1 золотой)
tavernBeer,Пиво (1 золотой)
tavernMead,Медовуха (2 золотых)
tavernWine,Вино (3 золотых)
tavernBread,Хлеб (1 золотой)
tavernBroth,Бульон (1 золотой)
tavernCheese,Сыр (2 золотых)
tavernFowl,Птица (3 золотых)
tavernGruel,Каша (2 золотых)
tavernPie,Пирог (2 золотых)
tavernStew,Рагу (3 золотых)
pressButtonToFireSpell,"Нажмите кнопку, чтобы произнести заклинание."
climbingMode,Режим карабканья
rappelMode,Режим спуска
hangingMode,Режим висения
acuteHearing,Острый слух
adrenalineRush,Прилив адреналина
athleticism,Атлетизм
bonusToHit,Бонус к попаданию
expertiseIn,Экспертиза
immunity,Иммунитет
increasedMagery,Усиленная магия
rapidHealing,Быстрое исцеление
regenerateHealth,Регенерация здоровья
resistance,Сопротивление
spellAbsorption,Поглощение заклинаний
animals,Животные
daedra,Даэдра
humanoid,Гуманоиды
undead,Нежить
axe,Топоры
bluntWeapon,Тупое оружие
handToHand,Бой без оружия
longBlade,Длинные клинки
missileWeapon,Дальнобойное оружие
shortBlade,Короткие клинки
toDisease,к болезни
toFire,к огню
toFrost,к морозу
toMagic,к магии
toParalysis,к параличу
toPoison,к яду
toShock,к шоку
intInSpellPoints15,Очки заклинаний = 1.5 х ИНТ
intInSpellPoints175,Очки заклинаний = 1.75 х ИНТ
intInSpellPoints2,Очки заклинаний = 2 х ИНТ
intInSpellPoints3,Очки заклинаний = 3 х ИНТ
intInSpellPoints,Очки заклинаний = 1 х ИНТ
general,общий
inDarkness,в темноте
inLight,на свету
whileImmersed,при погружении в воду
criticalWeakness,Критическая слабость
damage,Урон
darknessPoweredMagery,"Магия, усиленная тьмой"
forbiddenArmorType,Запрещенный тип брони:
forbiddenMaterial,Запрещенный материал:
forbiddenShieldTypes,Запрещенные типы щитов:
forbiddenWeaponry,Запрещенное оружие:
inabilityToRegen,Невозможность восстанавливать очки заклинаний
lightPoweredMagery,Светосильная магия
lowTolerance,Низкая толерантность
phobia,Фобия
fromHolyPlaces,от святых мест
fromSunlight,от солнечного света
lowerMagicAbilityDaylight,Снижение магических способностей при дневном свете
unableToUseMagicInDaylight,Невозможно использовать магию при дневном свете
chain,Кольчужный
leather,Кожа
plate,Пластинчатый
adamantium,Адамант
daedric,Даэдрический
dwarven,Гномский
ebony,Эбонит
elven,Эльфийский
iron,Железо
mithril,Мифрил
orcish,Оркский
silver,Серебро
steel,Сталь
buckler,Баклер
kiteShield,Турнирный щит
roundShield,Круглый щит
towerShield,Башенный щит
lowerMagicAbilityDarkness,Снижение магических способностей в темноте
unableToUseMagicInDarkness,Невозможно использовать магию в темноте
helpAttributes,Атрибуты
helpClassName,Имя класса
helpGeneral,Общие сведения
helpReputations,Репутация
helpSkillAdvancement,Развитие навыков
helpSkills,Навыки
helpSpecialAdvantages,Особые преимущества
helpSpecialDisadvantages,Особые недостатки
lower,Ниже
higher,Выше
unchanged,Без изменений
elsweyr,Эльсвейр
blackMarsh,Блэк Марш
hammerfell,Хаммерфелл
highRock,Хай Рок
morrowind,Морровинд
skyrim,Скайрим
sumurset,Саммерсет
valenwood,Валенвуд
rollingHills,холмы
desertLand,пустыня
mountains,горы
swamps,болота
forests,леса
shores,берега
medical,Медицина
etiquette,Этикет
streetwise,Жаргон
jumping,Прыжки
harpy,Язык гарпий
giantish,Язык великанов
dragonish,Язык драконов
nymph,Язык нимф
aedric,Аэдрический
spriggan,Язык спригганов
centaurian,Язык кентавров
impish,Язык бесов
lockpicking,Взлом
mercantile,Торговля
pickpocket,Карманные кражи
stealth,Скрытность
swimming,Плавание
climbing,Лазание
backstabbing,Удар в спину
dodging,Уклонение
running,Бег
destruction,Разрушение
restoration,Восстановление
illusion,Иллюзии
alteration,Изменение
thaumaturgy,Тауматургия
mysticism,Мистицизм
archery,Стрельба из лука
criticalStrike,Критический удар
strength,Сила
intelligence,Интеллект
willpower,Сила воли
agility,Ловкость
endurance,Выносливость
personality,Привлекательность
speed,Скорость
luck,Удача
STR,СИЛ
INT,ИНТ
WIL,ВОЛ
AGI,ЛОВ
END,ВЫН
PER,ПРИ
SPD,СКР
LUC,УДЧ
breton,Бретон
redguard,Редгард
darkElf,Тёмный эльф
highElf,Высший Эльф
woodElf,Лесной эльф
khajiit,Каджит
argonian,Аргонианин
vampire,Вампир
werewolf,Вервольф
wereboar,Вервепрь
vraseth,Врасет
haarvenu,Хаарвену
thrafey,Трафей
lyrezi,Лирези
montalion,Монталион
khulari,Хулари
garlythi,Гарлити
anthotis,Антотис
selenu,Селену
lockedExteriorDoor,Закрыто.
canOnlyCastOncePerDay,Может быть использовано только один раз в день...
youNeedToHuntTheInnocent,Вы чувствуете потребность охотиться на невинных...
youDreamOfTheMoon,Вы снова мечтаете о луне...
inventoryWhileShapechanged,Вы не можете получить доступ к инвентарю при изменении формы...
youGetNoResponse,Вы не получаете ответа.
copyLogbookInfo,Левый клик: скопировать выделенный текст. Правый клик: скопировать весь разговор.
east,востоке
northeast,северо-востоке
north,севере
northwest,северо-западе
west,западе
southwest,юго-западе
south,юге
southeast,юго-востоке
thisPlace,это место
AnyNews,Что нового?
WhereAmI,Где я нахожусь?
AnswerTextWhereAmI,Вы находитесь в {0} в {1}.
YouAreInSameBuilding,Вы нашли {0}. Вы здесь.
NpcInSameBuilding,"{0} где-то здесь, в {1}."
PreviousList,Предыдущий список
General,Общее
Regional,Региональное
Alchemists,Алхимики
Armorers,Оружейники
Banks,Банки
Bookstores,Книжные магазины
Clothingstores,Магазины одежды
Gemstores,Ювелирные магазины
Generalstores,Магазины
Guilds,Гильдии
Libraries,Библиотеки
Pawnshops,Ломбарды
Taverns,Таверны
Weaponsmiths,Кузнецы
Localtemples,Местные храмы
Sir,Сэр
Ma'am,Мэм
oldLeaderFate0,умер от сердечной недостаточности
oldLeaderFate1,упал и ударился головой
oldLeaderFate2,умер от чумы
oldLeaderFate3,ушёл в отставку под давлением
oldLeaderFate4,был свергнут
oldLeaderFate5,был найден убитым в своей постели
toBeReplacedStringRegional,Any
replacementStringRegional,any
comma,", "
resolvingError,...неважно...
chameleon,Хамелеон
charm,Очарование
comprehendLanguages,Понимание языков
continuousDamage,Постоянный урон
createItem,Создать предмет
cure,Вылечить
detect,Обнаружить
disintegrate,Дезинтеграция
dispel,Рассеять
drain,Опустошить
elementalResistance,Сопротивление стихиям
fortifyAttribute,Укрепление атрибута
freeAction,Свободa действий
heal,Исцеление
identify,Идентифицировать
invisibility,Невидимость
levitate,Левитация
light,Свет
lock,Замок
morphSelf,Изменить себя
open,Открыть
pacify,Умиротворить
paralyze,Парализовать
regenerate,Регенерация
shadow,Тень
shield,Щит
silence,Тишина
slowfall,Замедленное падение
soulTrap,Ловушка душ
spellReflection,Отражение заклинаний
spellResistance,Сопротивление заклинаниям
teleport,Телепорт
transfer,Перенос
waterBreathing,Водное дыхание
waterWalking,Хождение по воде
fire,Огонь
frost,Мороз
magicka,Магия
poison,Яд
shock,Шок
enemy,Враг
magic,Магия
treasure,Сокровище
fatigue,Усталость
health,Здоровье
spellPoints,Очки заклинаний
disease,Болезнь
paralyzation,Парализация
animal,Животные
normal,Нормальный
TRUE,TRUE
noName,<no-name>
youDontHaveTheSpellPoints,Вам не хватает магии.
youAreSilenced,Вы онемели
youAreParalyzed,Вы парализованы.
youFeelDrained,Вы истощены.
youAreFortified,Вы укреплены.
youAreInvisible,Вы невидимы.
youAreLevitating,Вы левитируете.
youAreRegenerating,Вы регенерируете.
youAreBlending,Слитие с тенями.
youAreAShade,Вы - тень.
slowFallActive,Активно медленное падение.
saveVersusSpellMade,Спасбросок против заклинания выполнен.
spellEffectFailed,Эффект заклинания не сработал.
spellAbsorbed,Заклинание было поглощено.
spellReflected,Заклинание было отражено.
spellResisted,Заклинанию было оказано сопротивление.
readyToLock,Готовность к запиранию.
readyToOpen,Готовность к открытию.
doorLocked,Дверь теперь заперта.
doorAlreadyLocked,Дверь уже заперта.
openFailed,Замок слишком мощный.
noSpellbook,У вас нет книги заклинаний!
sunlightDamageFastTravelDay,Вы не можете начать быстрое путешествие днём.
trapActive,Ловушка активна.
trapHumanoid,Ловушка не действует на гуманоидов.
trapSuccess,Душа в ловушке.
trapFail,Ловушка не сработала.
trapNoneEmpty,У вас нет пустых ловушек для души!
stamina,Выносливость
orcStrength,Сила орка
healing,Исцеление
restorePower,Восстановление энергии
resistFire,Сопротивляйтесь огню
resistFrost,Сопротивляйтесь морозу
resistShock,Сопротивляться шоку
cureDisease,Болезнь излечения
slowFalling,Замедленное падение
healTrue,Исцеление истинное
levitation,Левитация
resistPoison,Сопротивление яду
curePoison,Вылечить отравление
chameleonForm,Форма хамелеона
shadowForm,Форма тени
purification,Очищение
LeatherCuirass,Кожаная кираса
LeatherGauntlets,Кожаные перчатки
LeatherGreaves,Кожаные поножи
LeatherLeftPauldron,Кожаный левый наплечник
LeatherRightPauldron,Кожаный правый наплечник
LeatherHelm,Кожаный шлем
LeatherBoots,Кожаные сапоги
ChainCuirass,Кольчужная кираса
ChainGauntlets,Кольчужные перчатки
ChainGreaves,Кольчужные поножи
ChainLeftPauldron,Кольчужный левый наплечник
ChainRightPauldron,Кольчужный правый наплечник
ChainHelm,Кольчужный шлем
ChainBoots,Кольчужные сапоги
SteelCuirass,Стальная кираса
SteelGauntlets,Стальные перчатки
SteelGreaves,Стальные поножи
SteelLeftPauldron,Стальной левый наплечник
SteelRightPauldron,Стальной правый наплечник
SteelHelm,Стальной шлем
SteelBoots,Стальные сапоги
SteelBuckler,Стальной щит
SteelDagger,Стальной кинжал
SteelLongsword,Стальной длинный меч
SteelStaff,Стальной посох
ShortBow,Короткий лук
Arrows,Стрелы
SteelBattleAxe,Стальной боевой топор
Robes,Робы
CastWhenUsed,Каст при использовании:
CastWhenHeld,Каст при удержании:
CastWhenStrikes,Кастовать при ударе:
ExtraSpellPts,Дополнительные очки заклинаний
PotentVs,Потенциал против
RegensHealth,Восстанавливает здоровье
VampiricEffect,Вампирический эффект
IncreasedWeightAllowance,Увеличение допустимого веса
RepairsObjects,Ремонтирует предметы
AbsorbsSpells,Поглощает заклинания
EnhancesSkill,Улучшает навыки
FeatherWeight,Вес пера
StrengthensArmor,Укрепляет доспехи
ImprovesTalents,Улучшает таланты
GoodRepWith,Хорошее отношение к
SoulBound,Привязанность души
ItemDeteriorates,Предмет портится
UserTakesDamage,Пользователь получает повреждения
VisionProblems,Проблемы со зрением
WalkingProblems,Проблемы с ходьбой
LowDamageVs,Низкий урон против
HealthLeech,Пиявка здоровья
BadReactionsFrom,Плохие реакции
ExtraWeight,Дополнительный вес
WeakensArmor,Ослабляет броню
BadRepWith,Плохое отношение к
inHolyPlaces,в святых местах
wheneverUsed,при каждом использовании
unlessUsedDaily,если не используется ежедневно
unlessUsedWeekly,если не используется еженедельно
fromHumanoids,от гуманоидов
fromAnimals,от животных
fromDaedra,от даэдра
duringWinter,зимой
duringSpring,весной
duringSummer,летом
duringFall,осенью
duringFullMoon,в полнолуние
duringHalfMoon,в четверть луны
duringNewMoon,в новолуние
nearUndead,около нежити
nearDaedra,рядом с даэдра
nearHumanoids,вблизи гуманоидов
nearAnimals,около животных
undeadLower,нежить
humanoidLower,гуманоид
animalsLower,животные
animalsUpper,Животные
allTheTime,всегда
inSunlight,днем
inDarknessLower,ночью
atRange,на расстоянии
whenStrikes,при ударах
add25Percent,дополнительно 25%
add50Percent,дополнительно 50%
hearing,hearing
athleticismLower,атлетизм
adrenalineRushLower,прилив адреналина
commoners,Обыватели
merchants,Торговцы
scholars,Ученые
nobility,Дворянство
underworld,Преступники
all,Все
noRoomInItem,В предмете нет места...
noEnchantments,Вы не подготовили чары для этого предмета.
noMonstersNearby,Монстров поблизости нет.
Fire,Огонь
Frost,Мороз
Poison,Яд
Shock,Шок
Magicka,Магия
Animal,Животное
Undead,Нежить
Humanoid,Гуманоид
Daedra,Даэдра
dialogButtonInfo,Активные задания; Завершённые задания; Записная книжка; Сообщения
activeQuests,Активные квесты
activeQuestsInfo,"Щёлкните по активному заданию, с пунктом назначения, чтобы начать путешествие."
finishedQuests,Завершённые квесты
finishedQuestsInfo,"Щёлкните по записи, чтобы переместить её. Правый щелчок, чтобы удалить."
notebook,Записная книжка
notebookInfo,"Щёлкните по заметке, чтобы переместить её. Правый щелчок, чтобы удалить. Щелчок на пустом месте, чтобы добавить новую заметку."
messages,Сообщения
messagesInfo,"История сообщений, недавно показанных на экране"
confirmMoveHead,Переместить запись
confirmMove,Вы хотите переместить эту запись?
confirmMove2,"(она будет размещена перед записью, которую щёлкнешь)"
confirmRemoveHead,Удалить запись
confirmRemove,"Уверены, что хотите удалить эту запись?"
confirmRemove2,(она будет удалена без возможности восстановления)
confirmFindHead,Путешествие к месту
confirmFind,"Вы хотите открыть карту мира, чтобы отправиться в:"
confirmFind2,(Примечание: вы сможете отказаться от путешествия на карте мира)
enterNote,Напиши свою заметку:
completedQuest,завершён
endedQuest,закончен
finishQuestHeader,{0} ({1}: {2}):
quest,Задание
noteHeader,{0} в {1}:
houseDeed,Вы получили документы и теперь владеете домом в городе %town в %region.
levelProgress,Прогресс до следующего уровня: {0}%
readMap,Обнаружено местоположение %map после изучения карты.
readMapTG,Гильдия Воров раскрыла местонахождение тщательно охраняемой сокровищницы под названием %map.
readMapDB,"Тёмное Братство раскрыло секрет некоторых склепов с сокровищами, расположенных где-то в месте под названием %map."
readMapFail,"Вам уже известно место, указанное на этой карте."
howManyItems,Сколько раз (макс {0})?
wagonFullGold,В вашей повозке может поместиться только {0} золотых монет.
itemsIdentified,Предметы идентифицированы.
repairDone,Готово
repairDays,%d дней
interruptRepair,Забрать предмет до его ремонта?
repairNote,Оставил {0} на ремонт в {1}.
doesntNeedIdentify,Это не требует идентификации.
goldAmount,{0} золотых
goldWeight,Вес: {0} кг
letterOfCredit,Вы получаете оплату по аккредитиву.
stealSuccess,Вы успешны.
stealFailure,Вы не достигли успеха...
cannotRemoveItem,Вы не можете снять этот предмет.
cannotCarryAnymore,Вы не можете унести больше вещей.
cannotHoldAnymore,Ваша тележка уже не может вместить больше вещей.
cannotUseThis,Вы не можете использовать это.
equippingWeapon,Экипировано: %s
lightDouse,Вы потушили %it.
lightLight,Вы зажигаете %it.
lightDies,Ваш %it мерцает и гаснет.
lightEmpty,У вашего %it не осталось топлива.
lightRefuel,Вы заправляешь свой %it бутылкой масла.
lightFull,Ваш %it заполнен.
kgSrc,кг
kgRep,кг
damSrc,очки ущерба
damRep,урон
arSrc,рейтинг брони
arRep,броня
northern,с севера
southern,с юга
noWagon,У вас нет повозки.
exitTooFar,"Выход находится слишком далеко, чтобы вы могли добраться до своей повозки."
bookUnavailable,Книга испорчена и теперь нечитабельна.
unknownAuthor,неизвестный автор
cannotDeleteVamp,Невозможно удалить специальные заклинания вампиров.
cannotDeleteWere,Невозможно удалить специальное заклинание ликантропии.
noRecipes,У вас нет рецептов.
potionMixed,Ваше зелье было приготовлено.
potionFailed,Из этих ингредиентов не получилось эффективного зелья.
reqIngredients,У вас нет нужных ингредиентов.
region,Регион
account,Счёт
loan,Займ
dueDate,Срок погашения
noAccount,Нет аккаунта
loanReminder,"У вас есть займ в размере {0} золотых монет, подлежащий выплате "
loanReminder2,через {0} месяцев в {1}
classicIcons,Классика
suggestedIcons,Предложенные
serviceMembersOnly,Мои услуги предназначены только для членов организации.
serviceDonateHowMuch,"Сколько денег пожертвовать: "
curedDisease,Вы вылечились.
freeHolidayCuring,Вы лечитесь бесплатно благодаря сегодняшнему празднику.
gettingQuests1,"Хм, давайте я посмотрю, какие задания у нас есть."
gettingQuests2,"Пожалуйста, наберитесь терпения и подождите немного, %pcf."
illegalRestWarning,Разбивать лагерь в городе или рядом с ним незаконно. Продолжать?
cannotLoiterMoreThanXHours1,"Вы не можете бездельничать больше "
cannotLoiterMoreThanXHours2,чем {0} часов подряд.
automapToolTipTextGridButton,Левый щелчок: переключение между 2D видом сверху и 3D видом (горячая клавиша: {0})\rправый щелчок: возврат оси вращения в положение игрока (горячая клавиша: {1})\rколесо мыши вверх при наведении на кнопку: увеличение перспективы (только 3D режим)\rколесо мыши вниз при наведении на кнопку: уменьшение перспективы (только 3D режим)
automapToolTipForwardButton,Левый щелчок: перемещение точки обзора вперед (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения вперед (горячая клавиша: {1})
automapToolTipBackwardButton,Левый щелчок: перемещение точки обзора назад (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения назад (горячая клавиша: {1})
automapToolTipLeftButton,Левый щелчок: перемещение точки обзора влево (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения влево (горячая клавиша: {1})
automapToolTipRightButton,Левый щелчок: перемещение точки обзора вправо (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения вправо (горячая клавиша: {1})
automapToolTipRotateLeftButton,щелчок левой кнопкой мыши: повернуть подземелье влево (горячая клавиша: {0})\rщелчок правой кнопкой мыши: повернуть камеру влево (горячая клавиша: {1})
automapToolTipRotateRightButton,левый щелчок: повернуть подземелье вправо (горячая клавиша: {0})\rправый щелчок: повернуть камеру вправо (горячая клавиша: {1})
automapToolTipUpstairsButton,Щелчок левой кнопкой мыши: увеличение точки обзора (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: увеличение уровня фрагмента (горячая клавиша: {1})\r Уровень фрагмента можно также регулировать, удерживая среднюю кнопку мыши\r\r Подсказка: различные режимы рендеринга могут показывать скрытую геометрию:\r горячая клавиша {2}: режим вырезания\r горячая клавиша {3}: режим каркаса\r горячая клавиша {4}: прозрачный режим\r переключение между режимами осуществляется клавишей return\r
automapToolTipDownstairsButton,Щелчок левой кнопкой мыши: уменьшение точки обзора (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: уменьшение уровня фрагмента (горячая клавиша: {1})\r Уровень фрагмента можно также регулировать, удерживая среднюю кнопку мыши\r\r Подсказка: различные режимы рендеринга могут показывать скрытую геометрию:\r горячая клавиша {2}: режим вырезания\r горячая клавиша {3}: режим каркаса\r горячая клавиша {4}: прозрачный режим\r переключение между режимами осуществляется клавишей return\r
